n1,l1,j1,n2,l2,j2,dipole matrix element reduced J basis (a.u.),comment,"theory = 1, experiment = 0",accuracy,source,doi
5,2,2.5,7,1,1.5,2.8,"table I, absolute",1,0.5,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,8,1,1.5,0.8,"table I, absolute",1,0.07,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,9,1,1.5,0.43,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,10,1,1.5,0.28,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,11,1,1.5,0.21,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,12,1,1.5,0.16,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,6,1,0.5,2.05,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,7,1,0.5,6.6,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,8,1,0.5,32,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,9,1,0.5,9,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,9,1,1.5,3.56,"table I, absolute",1,0.09,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,6,1,1.5,0.976,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,7,1,1.5,3.3,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,10,1,1.5,1.16,"table I, absolute",1,0.04,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,11,1,1.5,0.64,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,6,1,0.5,4.23,"table I, absolute",1,0.07,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,7,1,0.5,17.99,"table I, absolute",1,0.04,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,8,1,0.5,5,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,9,1,0.5,1.56,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,10,1,0.5,0.85,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,11,1,0.5,0.56,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,12,1,0.5,0.415,"table I, absolute",1,0.008,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,6,1,1.5,2.09,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,7,1,1.5,8.07,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,8,1,1.5,1.98,"table I, absolute",1,0.07,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,9,1,1.5,0.633,"table I, absolute",1,0.009,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,10,1,1.5,0.346,"table I, absolute",1,0.007,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,11,1,1.5,0.23,"table I, absolute",1,0.005,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,12,1,1.5,0.169,"table I, absolute",1,0.004,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,6,1,1.5,6.13,"table I, absolute",1,0.09,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,7,1,1.5,24.35,"table I, absolute",1,0.06,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,8,1,1.5,6.2,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,9,1,1.5,1.97,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,10,1,1.5,1.07,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,11,1,1.5,0.71,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,12,1,1.5,0.53,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,2.5,6,1,1.5,2.89,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,2.5,7,1,1.5,9.6,"table I, absolute",1,0.3,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,2.5,8,1,1.5,43.2,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,2.5,9,1,1.5,11.1,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,2.5,10,1,1.5,3.6,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,12,1,1.5,0.42,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,10,1,0.5,2.86,"table I, absolute",1,0.08,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,11,1,0.5,1.55,"table I, absolute",1,0.04,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,12,1,0.5,1.03,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,7,3,2.5,1.73,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,1.5,8,3,2.5,1.34,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,6,3,2.5,0.644,"table I, absolute",1,0.006,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,6,3,3.5,2.88,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,7,3,2.5,0.468,"table I, absolute",1,0.003,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
5,2,2.5,7,3,3.5,2.1,"table I, absolute",1,0.01,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,1.5,4,3,2.5,24.62,"table I, absolute",1,0.09,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,4,3,2.5,6.6,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,2,2.5,4,3,3.5,29.5,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,5,3,2.5,43.4,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,2.5,5,3,2.5,11.66,"table I, absolute",1,0.05,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,2.5,5,3,3.5,52.2,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,2,1.5,6,3,2.5,65.2,"table I, absolute",1,0.5,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,2,2.5,6,3,2.5,17.5,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
8,2,2.5,6,3,3.5,78.4,"table I, absolute",1,0.6,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,2,1.5,7,3,2.5,90.5,"table I, absolute",1,0.9,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,2,2.5,7,3,2.5,24.4,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
9,2,2.5,7,3,3.5,108.9,"table I, absolute",1,1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,2,2.5,6,3,2.5,2.14,"table I, absolute",1,0.02,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,2,2.5,6,3,3.5,9.56,"table I, absolute",1,0.08,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,2,2.5,8,3,2.5,32.1,"table I, absolute",1,0.3,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
10,2,2.5,8,3,3.5,143,"table I, absolute",1,1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,2,2.5,7,3,2.5,3.08,"table I, absolute",1,0.03,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
11,2,2.5,7,3,3.5,13.8,"table I, absolute",1,0.1,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
12,2,2.5,8,3,2.5,4.21,"table I, absolute",1,0.04,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
12,2,2.5,8,3,3.5,18.8,"table I, absolute",1,0.2,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,1.5,8,1,1.5,14.35,"table I, absolute",1,0.05,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
7,2,2.5,11,1,1.5,1.97,"table I, absolute",1,0.06,"Physical Review A, 94 012505 (2016)",10.1103/PhysRevA.94.012505
6,0,0.5,7,1,0.5,0.2757,"table I, reduced",0,0.001,"Physical Review A, 66 020101 (2002)",10.1103/PhysRevA.66.020101
6,0,0.5,7,1,1.5,0.5856,"table I, reduced",0,0.001,"Physical Review A, 66 020101 (2002)",10.1103/PhysRevA.66.020101
6,0,0.5,6,1,0.5,4.5003,"table 7, reduced*sqrt(2*1/2+1)",0,0.001,"Cesium D Line Data", https://steck.us/alkalidata/cesiumnumbers.pdf
6,0,0.5,6,1,1.5,6.3337,"table 7, reduced*sqrt(2*1/2+1)",0,0.001,"Cesium D Line Data", https://steck.us/alkalidata/cesiumnumbers.pdf
